#{"t_start": 1678891913.846703, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation
105.895355,2880,461.992552,False,True,False,0,5874934615388537134,2880,0,0,0,16.16726688685557,14.0,15.338103250613832,19922.696872516386,29826.5,22282.51983686245,1415.001865178972,2922.0,1062.2392432776294,-6465.465477394271,-2653.0,-4796.2563095273235,830.1123696881721,1242.7708333333337,928.438326535933,204480,2880,9951,1,882,0,49,1948,0,244,105.89549295673002,894.7949999999956,-98.62776039005608,0,-265.30000000000433,-69.80000000000045,174.30571813043355,0
-126.87224,2880,461.993052,False,True,False,1,4720721261117928062,2880,0,0,0,16.265998855743508,12.125,14.56851780591801,15843.126787767247,10856.145833333434,10490.176705747232,1245.5122158159413,2548.5,1445.9680399873496,-113433187.81563827,-5615.0,-6728.465017829054,660.1302828236506,452.33940972222314,437.0906960728003,296640,2880,22397,518,663,0,0,1699,0,41,-126.87259659028756,325.68437499999965,-735.3349768494543,0,-561.4999999999961,-56.80000000000027,266.71502230771006,0
43.14182,2880,461.993052,False,True,False,2,2412946043537042528,2880,0,0,0,16.13802225853776,14.0,14.353493072217995,17474.02344780871,25109.249999999203,17607.548951836856,1440.4532911689123,2196.0,1432.7065217568954,-25407.524049080374,-3079.0,-25174.896713575614,728.0843103253516,1046.2187499999764,733.6478729931997,187200,2880,11437,169,632,0,615,1464,0,380,43.142013484804444,753.2774999999937,-285.6381731062846,0,-307.89999999999964,-53.00000000000021,152.11275401511506,0
-23.851915,2880,461.993052,False,True,False,3,789974133212406139,2880,0,0,0,16.388533791856315,14.0,15.126239694243694,14821.981610854162,17361.33333333305,15875.964363179932,1264.8592752936968,2670.0,1138.5519820882232,-31301.167233898548,-3987.0,-7872.42168954575,617.5825671189266,723.3888888888907,661.4985151324951,192960,2880,11215,297,636,0,167,1780,0,1293,-23.851826244286862,520.8400000000021,-454.2560028204831,0,-398.69999999999845,-49.80000000000017,238.80504535476052,0
-124.23888,2728,900.081412,True,False,False,2,2753094865414633649,2728,1,0,1,15.493479860748476,13.979166666666671,14.041397897436871,11753.774991561453,12188.979166666431,13461.6261985873,1364.6492583934128,2581.5,938.3822361274017,-3899.582629601331,-4151.0,-2144.782625632813,489.7406246483948,507.8741319444378,560.9010916078089,226424,2728,16292,290,707,0,10,1721,0,645,-124.23888843269,365.6693750000006,-449.25723081688176,-68.19999999999999,-415.09999999999974,-98.60000000000086,261.05452522074063,0
-1.1071852,2880,920.910067,False,True,False,0,2488343231644625808,2880,0,0,0,16.6634621604756,10.0625,14.719720590500156,17045.978952842917,13026.729166666524,12567.145245016796,1521.532921772897,2881.5,1297.3460277602258,-11599.4277273158,-3421.0,-1883.6084700932615,710.2491230351362,542.7803819444448,523.6310518756952,241920,2880,20507,136,823,0,0,1921,0,252,-1.1072016635785251,390.8018749999994,-265.45408506637693,0,-342.10000000000264,-64.40000000000038,274.5090000849024,0
118.26595,2880,920.910067,False,True,False,1,8766480278738261042,2880,0,0,0,15.81944896936336,14.0,14.842245448046675,21233.6596412346,29447.5,18276.624222626906,1792.907108299367,2395.5,1652.0693730603896,-5824.037756940481,-2188.0,-4281.98040016758,884.7358183847767,1226.9791666666688,761.5260092761182,184320,2880,8954,1,727,0,555,1597,0,897,118.2659146284719,883.4249999999993,-81.3599811821957,0,-218.8000000000026,-76.60000000000055,202.93046895302973,0
40.495934,2880,920.910067,False,True,False,3,2184191404571879930,2880,0,0,0,16.32622553016869,14.0,16.02049556705503,26704.525730961803,28080.645833333336,18262.970247440466,1697.8077130649012,2007.0,1999.4076226994598,-283980.8073577026,-3308.0,-49254.33217346866,1112.6885721233837,1170.0269097222306,760.9570936433533,100800,2880,5451,233,559,0,750,1338,0,641,40.49593807648222,842.4193749999758,-359.50435492910566,0,-330.79999999999995,-108.800000000001,199.66060838799606,0
-0.61658686,2880,1419.8386,False,True,False,2,7509906927484655758,2880,0,0,0,15.577664772733867,14.0,14.688093101590018,23070.97863602314,22622.020833333336,21051.429108445052,1461.437479598308,2632.5,1620.0382528222453,-9796.339819021872,-3921.0,-1765.6687545614298,961.2907765009465,942.5842013888948,877.1428795185418,149760,2880,8381,249,726,0,150,1755,0,481,-0.6166032691776369,678.6606249999935,-399.1388960392958,0,-392.0999999999999,-47.80000000000014,156.67865142422937,0
-109.69713,2880,1443.939826,False,True,False,0,377914054924498011,2880,0,0,0,16.47147389372249,11.9375,13.741124964335967,14729.049296662668,13817.479166666657,10386.372191750552,1339.8860725121344,2547.0,1562.1793130058772,-2372.372000795315,-5254.0,-4410.53651525838,613.7103873609414,575.7282986111121,432.76550798961017,279360,2880,25410,427,755,0,0,1698,0,1177,-109.69772493652474,414.5243749999991,-626.1866925782143,0,-525.399999999998,-181.39999999999824,260.27596795904026,0
-278.60812,2880,1443.939826,False,True,False,1,1329637740802083942,2880,0,0,0,16.660885806704123,14.0,13.352874653672629,14128.747252684065,8559.604166666664,9721.124221791992,1497.4207345644406,2206.5,1695.8558552530033,-4487.369714471771,-7803.0,-1706.08022449052,588.6978021951758,356.6501736111101,405.0468425746682,273600,2880,26562,939,410,0,60,1471,0,220,-278.60790073126253,256.7881249999991,-1248.1261630050026,0,-780.2999999999965,-129.80000000000118,229.79063361746975,0
-23.37342,2880,1443.939826,False,True,False,3,7390452496230446618,2880,0,0,0,16.218998143478153,14.0,16.12853585757182,24223.288410645036,18985.354166666664,15386.158239116163,1505.941737961847,2629.5,1149.6935725808532,-50071.735141893594,-4045.0,-204062.1008518084,1009.3036837768835,791.0564236111182,641.0899266298408,152640,2880,10949,307,632,0,188,1753,0,399,-23.37351597445364,569.5606250000027,-466.1823274968027,0,-404.50000000000466,-66.4000000000004,227.2806066500774,0
