#{"t_start": 1681373683.4449227, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation,agent_timeouts,episodes
3.2983394,120,29.929527,False,False,True,13,7976349881628269149,120,0,0,0,15.022651624874857,4.125,5.4440608938262764,554.482472103113,47.625,113.86305686951772,73.7222929883778,27.0,16.386911904637763,-1038.036960558514,-159.0,-21.810726647717836,138.62061802577824,11.90625,28.46576421737943,12120,120,540,0,1,104,1,10,4,25,3.2983430777893354,1.4287499999999995,-2.4344069222106484,0,-0.30000000000000004,0,4.604000000000002,0,1,1
4.330221,122,30.664162,False,False,True,4,8698157313321341862,122,0,0,0,15.076012025527236,1.875,12.545379370440063,622.4409867400652,17.625,152.2672053249169,63.328256341977344,22.5,27.589368782227027,-93.5614704289468,-25.5,-22.230349568540053,155.6102466850163,4.40625,38.06680133122922,9516,122,591,0,0,17,91,13,1,46,4.330221862576144,0.5287499999999999,-0.6185281374238571,0,0,0,4.420000000000002,0,1,1
13.91847,266,63.758274,False,False,True,22,3378953895584212157,266,0,0,0,16.397138969026503,7.875,15.316624076064793,1516.5541603509198,453.875,1033.4609421372827,169.498348336137,139.5,153.3001904784873,-1009.5351946574167,-407.0,-240.44450981290126,379.13854008772995,113.46875,258.3652355343207,23408,266,1788,5,81,86,24,47,23,122,13.918441924087542,13.61625000000001,-16.0618080759125,0,-3.8000000000000007,-2.1999999999999997,22.363999999999983,0,1,1
15.718462,182,71.712744,False,False,True,13,7888773299275917822,182,0,0,0,15.31525568276831,4.875,13.585098897319273,730.4078854316767,142.125,323.6709820625762,89.27574092515196,73.5,79.51214490322992,-212.8873864349277,-79.5,-908.6017948437022,182.60197135791918,35.53125,80.91774551564404,16926,182,1965,0,0,53,83,43,3,23,15.718459960243665,4.263749999999999,-1.9652900397563369,0,0,-2.4,15.819999999999993,0,1,1
51.87308,357,83.28238,False,False,True,1,4720721261117928062,357,0,0,0,15.786402462358431,8.625,14.869139081513529,1874.0897009635157,1092.375,1428.4602327205341,156.5855303092934,229.5,159.58578199857055,-2087.9250305115957,-313.5,-458.01815212326545,468.52242524087893,273.09375,357.11505818013353,36771,357,2401,0,5,199,42,69,42,18,51.87306530568036,32.771250000000016,-8.190184694319827,0,0,-2.1999999999999997,29.49199999999997,0,1,1
34.61242,361,84.324072,False,False,True,14,7664468306534606621,361,0,0,0,15.514606994108378,7.125,15.303491778812983,1783.8978696353413,477.875,1042.1186387302732,191.67883339399503,207.0,112.5515929407345,-4772.831031802778,-338.0,-205.59761459202576,445.9744674088353,119.46875,260.5296596825683,41876,361,2975,2,2,212,38,76,31,23,34.61237988073114,14.336250000000039,-10.115870119269,0,-2.0,-1.2,33.592,0,1,1
37.01823,382,88.788397,False,False,True,19,3877310029415951002,382,0,0,0,16.614684683264244,9.0,14.268544921610076,2517.2644885023183,520.5,1325.8153221510288,225.96698497427226,217.5,229.50505960842824,-4608.025417980751,-252.0,-391.76869202623715,629.3161221255796,130.125,331.4538305377572,30178,382,3084,0,6,156,101,93,26,158,37.01821645938203,15.615000000000013,-6.792783540618033,0,0,-11.199999999999992,39.39599999999998,0,1,1
50.343716,419,96.811378,False,False,True,3,789974133212406139,419,0,0,0,16.63805461799516,8.625,16.530167351204952,2706.8944227582933,1482.5,1820.0809231028954,257.3555593470713,267.0,138.72123191168396,-7593.1231049430435,-307.5,-308.45182747385064,676.7236056895733,370.625,455.02023077572386,28073,419,1738,3,2,187,85,106,36,120,50.343708524493714,44.47499999999993,-11.827291475506366,0,-2.7000000000000006,-3.2000000000000006,23.59599999999998,0,1,1
81.6928,480,109.847785,False,True,False,0,5874934615388537134,480,0,0,0,16.472626082830963,11.25,14.129686094906543,2900.241925160886,2665.875,3325.0852175940863,233.25513752878888,393.0,162.0265700254381,-728.8996423966503,-380.0,-596.2588554843474,725.0604812902214,666.46875,831.2713043985216,34080,480,1906,2,6,232,36,146,58,96,81.69279546845947,79.97624999999992,-13.931454531540526,0,-2.6000000000000005,-10.599999999999994,28.847999999999978,0,0,1
70.08734,480,109.847785,False,True,False,2,2412946043537042528,480,0,0,0,16.66340257264189,8.625,14.394603406759812,2574.9001570982587,1554.75,2223.2302132439468,244.75589093872713,367.5,187.3838681767683,-945.4149637111085,-423.0,-619.0185531203514,643.7250392745647,388.6875,555.8075533109867,31200,480,1995,0,7,268,28,109,68,97,70.08732973970685,46.642499999999906,-12.143170260293102,0,-1.5000000000000002,-5.000000000000002,42.08799999999996,0,0,1
