#{"t_start": 1678891920.4023523, "env_id": null}
r,l,t,collision,time_out,agent_waiting_time_out,rank,last_seed,steps,collisions,collisions_pedestrian,collisions_car,car_max_velocity_env,car_max_velocity_agent,car_max_velocity_nearby,car_velocity_env,car_velocity_agent,car_velocity_nearby,car_acceleration_env,car_acceleration_agent,car_acceleration_nearby,car_decceleration_env,car_decceleration_agent,car_decceleration_nearby,car_travelled_distance_env,car_travelled_distance_agent,car_travelled_distance_nearby,car_count_env,car_count_agent,car_count_nearby,agent_actions_-7,agent_actions_-3,agent_actions_-1.5,agent_actions_0,agent_actions_1.5,agent_actions_3,nearby_crossing_pedestrians_count,score,score_velocity,score_acceleration,score_collision,score_shield,score_intersection,score_distance,score_rule_violation
125.9636,2880,1821.898638,False,True,False,0,152440531369162766,2880,0,0,0,15.92211969720724,13.888678087492385,13.604991753019384,19477.181348969778,20368.295364840033,17417.912633471533,1640.197907665274,1673.8856518400157,1395.8076806922625,-5204.062481306718,-1395.2952115819282,-3027.078256093945,811.5492228737485,848.6789735350043,725.7463597279801,169920,2880,12437,38,0,0,137,0,0,171,125.96368605150677,611.0488609452021,-89.61844157002189,0,-26.599999999999984,-72.8000000000005,333.7516969338586,0
57.21318,2880,1821.898638,False,True,False,1,8749746783503398888,2880,0,0,0,16.110155939270783,7.0002169194384685,13.988479842205482,15606.936113984628,5800.542874776999,9153.927990422895,1462.6480326191,1003.1399175501303,1415.4211692114836,-7913.897976431499,-1164.0623171453813,-3070.040758780485,650.2890047493578,241.68928644904165,381.41366626762226,308160,2880,28560,51,0,0,640,0,0,77,57.21320986027638,174.0162862433097,-87.73993329836607,0,-35.699999999999996,-77.00000000000055,369.70290621671404,0
81.4257,2880,1821.898638,False,True,False,2,847774930430015486,2880,0,0,0,15.337692909586229,13.888419016875334,13.46575416522192,17178.21255449334,14041.223489714443,12441.183999569035,1586.7835656116392,1607.3949226293873,1670.794767454047,-452236.3403657434,-1640.599460181104,-2025363.7216262405,715.7588564372378,585.0509787381008,518.3826666487056,198720,2880,22527,58,0,0,328,0,0,482,81.42556868826699,421.23670469143207,-124.77510928961428,0,-39.20000000000001,-140.20000000000059,371.49181672778144,0
178.53818,2880,1821.898638,False,True,False,3,5369497044354532241,2880,0,0,0,16.477313322073947,13.888886583890379,14.071529699864218,26528.609701300174,30941.49925284523,18863.517934376905,1590.0691169661857,1271.8263054398785,1049.4243302702173,-124588.10868170002,-1075.3489317727187,-1397.5713739944824,1105.3587375541815,1289.229135535217,785.9799139323724,86400,2880,4858,8,0,0,0,0,0,751,178.53816470826007,928.2449775853573,-44.95413880762954,0,-5.6000000000000005,-53.00000000000021,246.53814947183386,0
152.7194,2880,2249.523661,False,True,False,0,7501093982645987484,2880,0,0,0,16.403671627906984,13.888761501570874,15.012308284563934,27635.547631564765,27821.180711140165,18649.127940607334,1874.36040266692,2314.969022631608,2124.2665299885784,-934763.1728415942,-2057.6695258476198,-1474.1478918296639,1151.4811513151649,1159.2158629641772,777.0469975253055,100800,2880,5619,31,0,0,7,0,2,2936,152.7192295996351,834.6354213342065,-110.82571170255532,0,-7.000000000000001,-119.80000000000116,319.3056679661568,0
184.50772,2880,2249.523661,False,True,False,1,2876137494685333844,2880,0,0,0,16.51146995937804,13.887670196610213,14.231209599117257,27349.201037054907,32005.822959439585,20264.953243441832,1787.6061900890104,1572.1671835682034,1991.058387672536,-3144.9901611704495,-1413.0074637402834,-1469.4462175924634,1139.5500432106005,1333.575956643314,844.3730518100764,89280,2880,4912,1,0,0,0,0,2,845,184.50758040568195,960.1746887831905,-47.30028855692968,0,-0.7000000000000001,-108.000000000001,302.87108220783364,0
106.49855,2880,2249.523661,False,True,False,2,5534950410493457001,2880,0,0,0,16.17004960934036,13.672473435678052,15.175498842679714,14583.811156370237,15468.322457521368,13049.712401777755,1459.9506533589106,1606.2522354948842,1562.7200771879302,-25940.034029032275,-1472.434947952196,-5721.402439873317,607.6587981820869,644.5134357300575,543.738016740743,213120,2880,19115,37,0,0,277,0,0,661,106.49861201970096,464.04967372564096,-86.34190243666377,0,-25.899999999999984,-60.40000000000032,347.58390082922733,0
36.86341,2880,2249.523661,False,True,False,3,868183486707206022,2880,0,0,0,16.30584374233433,10.711173575549996,13.191410248968252,13935.592411916523,6340.966704265446,9480.527284462,1460.6620361153161,1365.8583174141017,1743.0944854047964,-6238.846404554396,-1361.6221115930296,-4817.362199587477,580.64968382987,264.20694601106044,395.02197018591784,270720,2880,30846,77,0,0,971,0,0,70,36.86341174530899,190.22900112796353,-129.5213101765023,0,-51.80000000000006,-88.20000000000071,300.47277952038917,0
68.88879,2880,2631.623698,False,True,False,0,8418684267946577446,2880,0,0,0,16.534472673469914,10.10319133164318,14.724397149902517,14003.389363383174,8418.238975589215,10903.76820121924,1453.7302276623716,1328.835183148528,1460.9926802106024,-50570071.22727599,-1473.3873372046878,-3484.4706580382194,583.4745568076298,350.75995731621674,454.3236750508031,256320,2880,19454,82,0,0,306,0,0,378,68.88884595594111,252.54716926767648,-133.51259207142263,0,-57.400000000000084,-46.800000000000125,398.49849853939156,0
125.32459,2880,2631.623698,False,True,False,1,3904497331914684451,2880,0,0,0,16.39284186381984,13.888886987110254,16.39284186381984,14531.208856772137,21059.955118364494,14116.02285186855,1351.6522883661598,1672.71028798117,1511.3897705872153,-6060.9462005401865,-1372.3570471739558,-30534.42285388872,605.4670356988303,877.4981299318536,588.1676188278519,241920,2880,18015,18,0,0,141,0,0,302,125.32450438383181,631.7986535509348,-69.73981557859776,0,-9.1,-135.60000000000085,334.58818833065135,0
